Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Mont Marçal,2018,1194528,Cava Extremarium de Mont Marçal Reserva Brut 2018,3.9,387,11.309255788139941,Spain,Cava
Château Pontac Lynch,2002,1221011,Margaux 2002,3.8,78,38.0116652879148,France,Margaux
Jean-Jacques Confuron,2008,53274,Romanèe Saint-Vivant Grand Cru 2008,4.6,25,627.1924772505943,France,Romanée-Saint-Vivant Grand Cru
Château Lafleur-Gazin,2005,1099316,Pomerol 2005,4.0,204,57.01749793187221,France,Pomerol
Bertani,1994,1835,Amarone della Valpolicella Classico 1994,4.5,114,383.25811282029804,Italy,Amarone della Valpolicella Classico
Clos Saint Jean,2015,1197525,Chateauneuf-du-Pape La Combe Des Fous 2015,4.2,97,93.19664492078286,France,Châteauneuf-du-Pape
Château Léoville Poyferré,1967,1115658,Saint-Julien (Grand Cru Classé) 1967,4.0,33,152.0466611516592,France,Saint-Julien
Allegrini,2019,8184,Palazzo della Torre 2019,4.1,45,17.27802967632491,Italy,Verona
Ellermann-Spiegel,2020,2085616,Weißburgunder 2020,3.7,33,7.330073196016629,Germany,Pfalz
Château Prieuré-Lichine,1978,736114,Margaux (Grand Cru Classé) 1978,4.2,44,95.02916321978701,France,Margaux
Brancaia,2017,12379,Tre 2017,3.8,1047,27.121270825261526,Italy,Toscana
Château La Croix du Casse,2001,1128600,Pomerol 2001,4.2,35,38.0116652879148,France,Pomerol
Kössler,2020,1225921,Blauburgunder (Pinot Noir) 2020,3.7,122,13.717708409688262,Italy,Südtirol - Alto Adige
Château Haut-Beauséjour,1996,1105338,Saint-Estèphe 1996,4.0,43,38.0116652879148,France,Saint-Estèphe
Sebastien David,2016,2039135,Vin d'une Oreille 2016,4.2,33,36.650365980083144,France,Saint-Nicolas-de-Bourgueil
Fattoria Aldobrandesca,2020,4126422,Aleatico Toscana Rosato 2020,4.2,109,29.843869440924845,Italy,Toscana
Donnafugata,2020,1162845,Sicilia Damarino 2020,3.9,472,11.204540456768276,Italy,Sicilia
Château Rauzan-Gassies,2007,1101461,Margaux 2007,4.2,205,57.01749793187221,France,Margaux
Château Montus,1989,86847,Madiran 1989,3.9,29,82.3586081238154,France,Madiran
Kante,2018,1249797,Malvasia 2018,3.8,68,21.88550425667822,Italy,Carso
Château Brane-Cantenac,1990,23769,Margaux (Grand Cru Classé) 1990,4.3,163,164.7172162476308,France,Margaux
Château Brane-Cantenac,1971,23769,Margaux (Grand Cru Classé) 1971,4.3,58,88.69388567180121,France,Margaux
